,Epoch,Avg pred_r,Avg pred_f,Err_d,Err_g
0,0,0.8885808256896677,0.09224832362863077,0.12240144002820655,6.774716362785084
1,1,0.9208783277889049,0.07162074777889292,0.09292203448256281,4.19663939356897
2,2,0.8735726812417285,0.11793427800757438,0.19119523106945768,3.658759517364037
3,3,0.9562243847253619,0.04310844121956671,0.049397614021718605,3.387330376630509
4,4,0.9387433963686409,0.05286370315258445,0.07761209396035465,3.1835788808409315
5,5,0.9526555525430336,0.2004938937191782,7.631787398340869,3.016660825184496
6,6,0.9101035818087759,0.08404515984593672,0.11088616773743884,2.883084641507429
7,7,0.971677123414104,0.02597780389159323,0.029438837083077256,2.8518454488873233
8,8,0.9054856456154565,0.08742473545423811,0.1643819308630009,2.7053225471076856
9,9,0.9732967343741985,0.024810961828961534,0.027811834925898088,2.6762129023382917
10,10,0.9443314763701472,0.05225085898352989,0.09231161235076876,2.610890852625566
11,11,0.9818834509996073,0.016975349188055888,0.01836409655692347,2.574452603241046
12,12,0.9831339066709185,0.015596506350195797,0.01702881328812912,2.5205716653742662
13,13,0.9000924850250412,0.09502973293773191,0.1717865863715427,2.4278922291181275
14,14,0.9812402517143443,0.0177727978208699,0.019152304079999335,2.423287137881778
15,15,0.9785619370669082,0.01984810848617496,0.02320177283102568,2.3947415502359166
16,16,0.984006327264023,0.01461762458458879,0.01611960041335905,2.366681030759007
17,17,0.9465761665516349,0.04993383531420484,0.10866558840830748,2.3061303798974415
18,18,0.9694949084409046,0.028074746602572778,0.03364001156153963,2.267999946010069
19,19,0.9871318564491213,0.012108955656407976,0.012932812100461207,2.263297067097439
20,20,0.9730967420458742,0.02527402269851393,0.03405699736489801,2.217158900605069
21,21,0.9890439867596154,0.01061904366303938,0.011267826307077688,2.209451651861602
22,22,0.9865771032564087,0.012539744811676868,0.013943735990974412,2.187627905533313
23,23,0.9131218563965625,0.08461414919291547,0.22772578630011442,2.1230869416563394
24,24,0.9749912890734035,0.022626233851072514,0.026719951959000433,2.123933630697397
25,25,0.9846562639888568,0.01436068370385213,0.016858333200255864,2.1236541965486557
26,26,0.9885030274619393,0.011042688762477895,0.011831583579666578,2.1072454375383844
27,27,0.9909652001418336,0.008457718231989047,0.009019306084923118,2.0745253639743075
28,28,0.9884411628088956,0.01085057532174225,0.011786271535974592,2.067313606082151
29,29,0.9836851141094456,0.015023411054715377,0.017811932739104246,2.038292256805009
30,30,0.9231341237383718,0.10284466026867575,1.6126310290654928,2.016976872651252
